form	count	english candidates	example
dízimo	18	tithing (0.36), tithe (0.32), tithed (0.30), mint (0.21)	1 Samuel 8:17 — He will take the tenth of your sheep: and ye shall be his servants.
iníqua	18	combination (0.15), perverse (0.13), plunderers (0.11), traps (0.10)	2 Néfi 10:3 — Wherefore, as I said unto you, it must needs be expedient that Christ—for in the last night the angel spake unto me that this should be his name—shoul
tribuno	18	roman (0.26), castle (0.22), captain (0.22), centurions (0.19)	Atos 21:31 — And as they went about to kill him, tidings came unto the chief captain of the band, that all Jerusalem was in an uproar.
entanto	16	wrestling (0.12), ringlets (0.12), hicks (0.12), dungeons (0.11)	1 Néfi 11:17 — And I said unto him: I know that he loveth his children; nevertheless, I do not know the meaning of all things.
gaditas	15	gadites (0.97), reubenites (0.77), manassites (0.22), arnon (0.16)	1 Crônicas 5:18 — The sons of Reuben, and the Gadites, and half the tribe of Manasseh, of valiant men, men able to bear buckler and sword, and to shoot with bow, and sk
sidônios	14	zidonians (0.64), sidonians (0.56), ashtoreth (0.38), milcom (0.38)	1 Crônicas 22:4 — Also cedar trees in abundance: for the Zidonians and they of Tyre brought much cedar wood to David.
concupiscência	14	lust (0.46), concupiscence (0.38), jarrings (0.14), mortify (0.13)	1 João 2:16 — For all that is in the world, the lust of the flesh, and the lust of the eyes, and the pride of life, is not of the Father, but is of the world.
feitiçarias	14	sorceries (0.60), witchcrafts (0.56), witchcraft (0.35), enchantments (0.26)	2 Crônicas 33:6 — And he caused his children to pass through the fire in the valley of the son of Hinnom: also he observed times, and used enchantments, and used witchc
diariamente	14	daily (0.25), receiving (0.23), flocking (0.13), unwearied (0.13)	3 Néfi 7:18 — And it came to pass that they were angry with him, even because he had greater power than they, for it were not possible that they could disbelieve hi
alarido	14	shouting (0.33), alarm (0.27), flat (0.25), rabbah (0.17)	Amós 1:14 — But I will kindle a fire in the wall of Rabbah, and it shall devour the palaces thereof, with shouting in the day of battle, with a tempest in the day
queimadura	13	blasting (0.40), mildew (0.40), stomacher (0.33), girding (0.31)	2 Crônicas 6:28 — If there be dearth in the land, if there be pestilence, if there be blasting, or mildew, locusts, or caterpillers; if their enemies besiege them in th
iníquas	13	obstruction (0.14), light-mindedness (0.14), conten (0.14), combi (0.13)	2 Pedro 2:8 — (For that righteous man dwelling among them, in seeing and hearing, vexed his righteous soul from day to day with their unlawful deeds;)
ismaelitas	13	ishmaelites (0.76), lemuelites (0.63), ishmeelites (0.47), jacobites (0.22)	4 Néfi 1:38 — And it came to pass that they who rejected the gospel were called Lamanites, and Lemuelites, and Ishmaelites; and they did not dwindle in unbelief, bu
nazireado	13	separation (0.50), nazarite (0.42), kernels (0.18), consecration (0.17)	Números 6:4 — All the days of his separation shall he eat nothing that is made of the vine tree, from the kernels even to the husk.
apoderou	12	astonishing (0.14), pursuit (0.13), designed (0.13), scarcely (0.13)	1 Samuel 10:10 — And when they came thither to the hill, behold, a company of prophets met him; and the Spirit of God came upon him, and he prophesied among them.
desígnio	12	crowning (0.15), traffickers (0.15), design (0.15), usurp (0.13)	2 Néfi 20:7 — Howbeit he meaneth not so, neither doth his heart think so; but in his heart it is to destroy and cut off nations not a few.
nonagésimo	12	ninetieth (0.36), ninety (0.33), infest (0.18), disbelieve (0.14)	3 Néfi 1:1 — Now it came to pass that the ninety and first year had passed away and it was six hundred years from the time that Lehi left Jerusalem; and it was in 
sofrimento	12	bleed (0.15), slight (0.15), eventually (0.15), terminate (0.15)	Alma 14:10 — And when Amulek saw the pains of the women and children who were consuming in the fire, he also was pained; and he said unto Alma: How can we witness 
aquém	11	tatnai (0.29), shethar-boznai (0.29), copy (0.19), asnappar (0.18)	1 Crônicas 26:30 — And of the Hebronites, Hashabiah and his brethren, men of valour, a thousand and seven hundred, were officers among them of Israel on this side Jordan
veracidade	11	typifying (0.17), mormonism (0.17), escutcheon (0.17), illinois (0.17)	2 Néfi 11:4 — Behold, my soul delighteth in proving unto my people the truth  of the coming of Christ; for, for this end hath the law of Moses  been given; and all 
flamejante	11	flaming (0.57), cherubim (0.53), placed (0.19), eden (0.16)	2 Néfi 24:29 — Rejoice not thou, whole Palestina, because the rod of him that smote thee is broken; for out of the serpent's root shall come forth a cockatrice, and 
bordadura	11	overlay (0.27), silk (0.25), broidered (0.21), crown (0.19)	Êxodo 25:11 — And thou shalt overlay it with pure gold, within and without shalt thou overlay it, and shalt make upon it a crown of gold round about.
redenho	11	caul (0.96), kidneys (0.92), liver (0.88), flanks (0.59)	Êxodo 29:13 — And thou shalt take all the fat that covereth the inwards, and the caul that is above the liver, and the two kidneys, and the fat that is upon them, a
resplandecente	11	arrayed (0.17), gorgeous (0.17), shining (0.16), glistering (0.15)	Isaías 18:4 — For so the LORD said unto me, I will take my rest, and I will consider in my dwelling place like a clear heat upon herbs, and like a cloud of dew in t
vigília	10	rowing (0.20), watch (0.18), toiling (0.18), newly (0.17)	1 Samuel 11:11 — And it was so on the morrow, that Saul put the people in three companies; and they came into the midst of the host in the morning watch, and slew the 
manada	10	swine (0.50), herd (0.47), steep (0.43), violently (0.32)	Amós 6:4 — That lie upon beds of ivory, and stretch themselves upon their couches, and eat the lambs out of the flock, and the calves out of the midst of the sta
pragana	10	chaff (0.39), stubble (0.32), threshingfloors (0.17), rolling (0.17)	Daniel 2:35 — Then was the iron, the clay, the brass, the silver, and the gold, broken to pieces together, and became like the chaff of the summer threshingfloors; 
quereteus	9	cherethites (0.89), pelethites (0.88), mule (0.25), benaiah (0.20)	1 Crônicas 18:17 — And Benaiah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief about the king.
encarregado	9	billings (0.20), dispose (0.20), nowhere (0.17), excepting (0.17)	1 Coríntios 9:17 — For if I do this thing willingly, I have a reward: but if against my will, a dispensation of the gospel is committed unto me.
apressuradamente	9	tatnai (0.15), shethar-boznai (0.15), treasurers (0.15), prospereth (0.14)	1 Néfi 20:3 — Behold, I have declared the former things from the beginning; and they went forth out of my mouth, and I showed them. I did show them suddenly.
escarlata	9	pearls (0.30), scarlet (0.30), decked (0.27), thread (0.25)	2 Samuel 1:24 — Ye daughters of Israel, weep over Saul, who clothed you in scarlet, with other delights, who put on ornaments of gold upon your apparel.
vestuário	9	raiment (0.21), enliven (0.20), orchards (0.18), needest (0.17)	Doutrina e Convênios 24:18 — And thou shalt take no purse nor scrip, neither staves, neither two coats, for the church shall give unto thee in the very hour what thou needest for 
vestidura	9	swaddlingband (0.20), averse (0.20), clad (0.18), winefat (0.18)	Doutrina e Convênios 133:51 — And I have trampled them in my fury, and I did tread upon them in mine anger, and their blood have I sprinkled upon my garments, and stained all my ra
botija	8	cruse (0.59), barrel (0.55), meal (0.30), cracknels (0.22)	1 Reis 14:3 — And take with thee ten loaves, and cracknels, and a cruse of honey, and go to him: he shall tell thee what shall become of the child.
impuro	8	violated (0.22), heaping (0.22), difference (0.20), event (0.18)	1 Néfi 10:21 — Wherefore, if ye have sought to do wickedly in the days of your probation, then ye are found unclean before the judgment– seat of God; and no unclean 
grandioso	8	bleed (0.22), ocean (0.22), galley (0.22), gallant (0.22)	2 Néfi 3:24 — And there shall rise up one mighty among them, who shall do much good, both in word and in deed, being an instrument in the hands of God, with exceedi
sarna	8	blains (0.44), scab (0.40), boil (0.26), itch (0.25)	2 Néfi 13:17 — Therefore the Lord will smite with a scab the crown of the head of the daughters of Zion, and the Lord will discover their secret parts.
basilisco	8	asp (0.55), cockatrice (0.55), cockatrice' (0.40), serpent's (0.36)	2 Néfi 21:8 — And the suckling child shall play on the hole of the asp, and the weaned child shall put his hand on the cockatrice's den.
serôdia	8	mowings (0.25), moderately (0.25), shooting (0.22), growth (0.22)	Amós 7:1 — Thus hath the Lord GOD shewed unto me; and, behold, he formed grasshoppers in the beginning of the shooting up of the latter growth; and, lo, it was t
luminária	8	lamps (0.21), snuffdishes (0.20), spice (0.17), anointing (0.16)	Êxodo 35:8 — And oil for the light, and spices for anointing oil, and for the sweet incense,
peleteus	7	pelethites (1.00), cherethites (0.88), mule (0.29), gittites (0.22)	1 Crônicas 18:17 — And Benaiah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief about the king.
desembainhada	7	drawn (0.33), glittering (0.31), accusations (0.25), cling (0.25)	1 Crônicas 21:16 — And David lifted up his eyes, and saw the angel of the LORD stand between the earth and the heaven, having a drawn sword in his hand stretched out ove
magnificência	7	majesty (0.26), chaldees' (0.22), detestable (0.14), ornament (0.13)	1 Crônicas 29:11 — Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty: for all that is in the heaven and in the earth is thi
fornicadores	7	idolaters (0.67), whoremongers (0.67), fornicators (0.60), sorcerers (0.27)	1 Coríntios 5:9 — I wrote unto you in an epistle not to company with fornicators:
pulgão	7	caterpiller (0.67), caterpillers (0.55), locust (0.50), palmerworm (0.40)	1 Reis 8:37 — If there be in the land famine, if there be pestilence, blasting, mildew, locust, or if there be caterpiller; if their enemy besiege them in the land 
paço	7	arieh (0.25), achmetha (0.25), palace (0.25), certified (0.22)	1 Reis 16:18 — And it came to pass, when Zimri saw that the city was taken, that he went into the palace of the king's house, and burnt the king's house over him wit
impura	7	dregs (0.15), everywhere (0.15), meridian (0.15), consigned (0.13)	1 Néfi 15:34 — But behold, I say unto you, the kingdom of God is not filthy, and there cannot any unclean thing enter into the kingdom of God; wherefore there must n
irrepreensível	7	blameless (0.25), wrinkle (0.25), vigilant (0.22), faultless (0.22)	1 Timóteo 3:2 — A bishop then must be blameless, the husband of one wife, vigilant, sober, of good behaviour, given to hospitality, apt to teach;
iguarias	7	countenances (0.31), fatter (0.25), cupbearers (0.22), nourishing (0.22)	2 Crônicas 9:4 — And the meat of his table, and the sitting of his servants, and the attendance of his ministers, and their apparel; his cupbearers also, and their app
descrença	7	treated (0.18), miraculous (0.18), unbelief (0.18), unavoidably (0.15)	3 Néfi 1:18 — For they knew that the prophets had testified of these things for many years, and that the sign which had been given was already at hand; and they beg
tenebroso	7	controllest (0.25), subjectest (0.25), benighted (0.25), sheol (0.25)	Alma 26:3 — Behold, I answer for you; for our brethren, the Lamanites, were in darkness, yea, even in the darkest abyss, but behold, how many of them are brought 
gumes	7	sharper (0.86), two-edged (0.83), marrow (0.67), joints (0.63)	Doutrina e Convênios 6:2 — Behold, I am God; give heed unto my word , which is quick and powerful, sharper than a two-edged sword, to the dividing asunder of both joints and mar
tenra	7	blade (0.29), fetcht (0.25), tender (0.20), comeliness (0.15)	Doutrina e Convênios 86:4 — But behold, in the last days , even now while the Lord is beginning to bring forth the word, and the blade is springing up and is yet tender—
montês	7	deer (0.25), pygarg (0.25), chamois (0.25), snuffeth (0.25)	Deuteronômio 14:5 — The hart, and the roebuck, and the fallow deer, and the wild goat, and the pygarg, and the wild ox, and the chamois.
tenros	7	overdrive (0.29), begins (0.29), eyed (0.25), decay (0.22)	Gênesis 29:17 — Leah was tender eyed; but Rachel was beautiful and well favoured.
inchação	7	reddish (0.33), scab (0.29), inflammation (0.25), rising (0.22)	Levítico 13:2 — When a man shall have in the skin of his flesh a rising, a scab, or bright spot, and it be in the skin of his flesh like the plague of leprosy; then h
tenro	6	magnifical (0.29), crop (0.25), twigs (0.25), tender (0.20)	1 Crônicas 22:5 — And David said, Solomon my son is young and tender, and the house that is to be builded for the LORD must be exceeding magnifical, of fame and of glor
crente	6	believer (0.29), unbeliever (0.29), faithless (0.22), relieve (0.18)	1 Coríntios 9:5 — Have we not power to lead about a sister, a wife, as well as other apostles, and as the brethren of the Lord, and Cephas?
incorruptível	6	corruptible (0.57), incorruptible (0.50), fadeth (0.31), uncorruptible (0.29)	1 Coríntios 9:25 — And every man that striveth for the mastery is temperate in all things. Now they do it to obtain a corruptible crown; but we an incorruptible.
ósculo	6	kiss (0.43), greet (0.38), gavest (0.05), salute (0.05)	1 Coríntios 16:20 — All the brethren greet you. Greet ye one another with an holy kiss.
vigílias	6	watchings (0.50), watches (0.50), fastings (0.36), imprisonments (0.29)	2 Coríntios 6:5 — In stripes, in imprisonments, in tumults, in labours, in watchings, in fastings;
vestiduras	6	harhas (0.40), asahiah (0.33), huldah (0.33), tikvah (0.33)	2 Reis 22:14 — So Hilkiah the priest, and Ahikam, and Achbor, and Shaphan, and Asahiah, went unto Huldah the prophetess, the wife of Shallum the son of Tikvah, the s
mortandade	6	infest (0.25), minnith (0.25), firebrands (0.20), wasteth (0.18)	3 Néfi 1:27 — And it came to pass that the ninety and third year did also pass away in peace, save it were for the Gadianton robbers, who dwelt upon the mountains, 
narração	6	prejudice (0.29), excite (0.29), excited (0.25), shorter (0.22)	3 Néfi 5:9 — But behold there are records which do contain all the proceedings of this people; and a shorter but true account was given by Nephi.
lemuelitas	6	lemuelites (1.00), ishmaelites (0.86), jacobites (0.36), josephites (0.36)	4 Néfi 1:38 — And it came to pass that they who rejected the gospel were called Lamanites, and Lemuelites, and Ishmaelites; and they did not dwindle in unbelief, bu
temerariamente	6	pronouncing (0.33), presumed (0.33), rashly (0.29), disallowed (0.20)	Atos 19:36 — Seeing then that these things cannot be spoken against, ye ought to be quiet, and to do nothing rashly.
rebeldia	6	consisted (0.22), personally (0.22), dreamer (0.20), rebellion (0.15)	Alma 3:6 — And the skins of the Lamanites were dark, according to the mark which was set upon their fathers, which was a curse upon them because of their transgr
sátrapas	6	lieutenants (0.60), sheriffs (0.50), deputies (0.44), treasurers (0.40)	Daniel 3:2 — Then Nebuchadnezzar the king sent to gather together the princes, the governors, and the captains, the judges, the treasurers, the counsellors, the sh
apocalipse?r	6	—	Doutrina e Convênios 77:8 — Q. What are we to understand by the four angels , spoken of in the 7th chapter and 1st verse of Revelation? A. We are to understand that they are four
temporã	6	moderately (0.33), reserveth (0.29), firstripe (0.22), baal-peor (0.20)	Deuteronômio 11:14 — That I will give you the rain of your land in his due season, the first rain and the latter rain, that thou mayest gather in thy corn, and thy wine, a
sangrenta	6	agosh (0.25), shared (0.24), fresh (0.15), lib (0.11)	Éter 13:27 — And it came to pass that Coriantumr was exceedingly angry with Shared, and he went against him with his armies to battle; and they did meet in great a
romã	6	bell (0.67), pomegranate (0.67), hem (0.33), locks (0.21)	Êxodo 28:34 — A golden bell and a pomegranate, a golden bell and a pomegranate, upon the hem of the robe round about.
ha	6	aha (0.55), replenished (0.22), profaned (0.12), tyrus (0.09)	Ezequiel 25:3 — And say unto the Ammonites, Hear the word of the Lord GOD; Thus saith the Lord GOD; Because thou saidst, Aha, against my sanctuary, when it was profan
endemoniado	6	legion (0.22), befell (0.18), possessed (0.14), dumb (0.08)	João 10:21 — Others said, These are not the words of him that hath a devil. Can a devil open the eyes of the blind?
confiante	6	secure (0.32), laish (0.29), magistrate (0.22), careless (0.18)	Juízes 18:7 — Then the five men departed, and came to Laish, and saw the people that were therein, how they dwelt careless, after the manner of the Zidonians, quiet
efá	5	abida (0.57), eldaah (0.57), epher (0.44), keturah (0.44)	1 Crônicas 1:33 — And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these are the sons of Keturah.
tecoíta	5	ikkesh (0.75), tekoite (0.75), ira (0.55), tekoah (0.50)	1 Crônicas 11:28 — Ira the son of Ikkesh the Tekoite, Abiezer the Antothite,
anatotita	5	antothite (0.57), abiezer (0.50), shemaah (0.33), gibeathite (0.33)	1 Crônicas 11:28 — Ira the son of Ikkesh the Tekoite, Abiezer the Antothite,
rotura	5	seweth (0.33), stomacher (0.29), girding (0.25), breach (0.15)	1 Crônicas 15:13 — For because ye did it not at the first, the LORD our God made a breach upon us, for that we sought him not after the due order.
ignomínia	5	makers (0.33), ignominy (0.33), skirts (0.15), dishonour (0.13)	1 Coríntios 15:43 — It is sown in dishonour; it is raised in glory: it is sown in weakness; it is raised in power:
especiaria	5	dropping (0.25), smelling (0.25), lilies (0.24), cinnamon (0.22)	1 Reis 10:10 — And she gave the king an hundred and twenty talents of gold, and of spices very great store, and precious stones: there came no more such abundance of
derredor	5	vigilant (0.33), dug (0.29), highness (0.25), fortifications (0.15)	1 Pedro 5:8 — Be sober, be vigilant; because your adversary the devil, as a roaring lion, walketh about, seeking whom he may devour:
saqueadores	5	spoilers (0.33), plunderers (0.33), bellow (0.33), shual (0.29)	1 Samuel 13:17 — And the spoilers came out of the camp of the Philistines in three companies: one company turned unto the way that leadeth to Ophrah, unto the land of 
incursões	5	invaded (0.40), gezrites (0.33), invasion (0.33), road (0.29)	1 Samuel 27:8 — And David and his men went up, and invaded the Geshurites, and the Gezrites, and the Amalekites: for those nations were of old the inhabitants of the 
sempiterno	5	gulf (0.17), honoured (0.14), fleeth (0.13), retained (0.09)	1 Timóteo 6:16 — Who only hath immortality, dwelling in the light which no man can approach unto; whom no man hath seen, nor can see: to whom be honour and power everl
néscio	5	glorying (0.22), commended (0.18), bible (0.15), fool (0.14)	2 Coríntios 12:6 — For though I would desire to glory, I shall not be a fool; for I will say the truth: but now I forbear, lest any man should think of me above that whi
cenáculo	5	furnished (0.36), upper (0.30), zelotes (0.29), bartholomew (0.22)	2 Reis 23:12 — And the altars that were on the top of the upper chamber of Ahaz, which the kings of Judah had made, and the altars which Manasseh had made in the two
pífaro	5	flute (0.89), sackbut (0.89), dulcimer (0.75), cornet (0.67)	2 Néfi 15:12 — And the harp, and the viol, the tabret, and pipe, and wine are in their feasts; but they regard not the work of the Lord, neither consider the operati
longínquas	5	furthermost (0.33), associate (0.29), plowshares (0.25), zemnarihah (0.22)	2 Néfi 15:26 — And he will lift up an ensign to the nations from far, and will hiss unto them from the end of the earth; and behold, they shall come with speed swift
serafins	5	seraphim (0.57), seraphims (0.57), flew (0.50), coal (0.40)	2 Néfi 16:2 — Above it stood the seraphim; each one had six wings; with twain he covered his face, and with twain he covered his feet, and with twain he did fly.
ajuntamento	5	pavilions (0.25), ponds (0.25), skies (0.20), pools (0.17)	2 Samuel 22:12 — And he made darkness pavilions round about him, dark waters, and thick clouds of the skies.
til	5	tittle (1.00), jot (0.89), faults (0.15), easier (0.14)	3 Néfi 1:25 — But it came to pass that they soon became converted, and were convinced of the error which they were in, for it was made known unto them that the law 
jacobitas	5	jacobites (1.00), josephites (1.00), believers (0.36), lemuelites (0.36)	4 Néfi 1:36 — And it came to pass that in this year there arose a people who were called the Nephites, and they were true believers in Christ; and among them there 
josefitas	5	jacobites (1.00), josephites (1.00), believers (0.36), lemuelites (0.36)	4 Néfi 1:36 — And it came to pass that in this year there arose a people who were called the Nephites, and they were true believers in Christ; and among them there 
bebedouro	5	swiftness (0.33), trough (0.33), lamanitish (0.29), flattered (0.25)	Alma 17:26 — And after he had been in the service of the king three days, as he was with the Lamanitish servants going forth with their flocks to the place of wate
invés	5	vouching (0.40), heaping (0.40), covenanting (0.33), idleness (0.17)	Alma 24:18 — And this they did, it being in their view a testimony to God, and also to men, that they never would use weapons again for the shedding of man's blood
apoderaram	5	intrigue (0.29), mastery (0.25), absence (0.17), travaileth (0.17)	Alma 53:8 — And now it came to pass that the armies of the Lamanites, on the west sea, south, while in the absence of Moroni on account of some intrigue amongst t
tenebrosos	5	blackening (0.33), shudder (0.33), aghast (0.33), pale (0.20)	Doutrina e Convênios 123:10 — Which dark and blackening deeds are enough to make hell itself shudder , and to stand aghast and pale, and the hands of the very devil to tremble and 
néscios	5	sottish (0.33), covenantbreakers (0.33), implacable (0.33), unmerciful (0.33)	Efésios 5:15 — See then that ye walk circumspectly, not as fools, but as wise,
perizeu	5	perizzites (0.35), hittites (0.30), hivites (0.29), rephaims (0.29)	Êxodo 3:8 — And I am come down to deliver them out of the hand of the Egyptians, and to bring them up out of that land unto a good land and a large, unto a land f
engastadas	5	inclosings (0.57), ouches (0.46), beryl (0.46), onyx (0.35)	Êxodo 28:11 — With the work of an engraver in stone, like the engravings of a signet, shalt thou engrave the two stones with the names of the children of Israel: th
topázio	5	topaz (1.00), sardius (0.89), carbuncle (0.75), settings (0.33)	Êxodo 28:17 — And thou shalt set in it settings of stones, even four rows of stones: the first row shall be a sardius, a topaz, and a carbuncle: this shall be the f
filhote	5	roe (0.46), hart (0.43), feedingplace (0.33), bether (0.33)	Isaías 31:4 — For thus hath the LORD spoken unto me, Like as the lion and the young lion roaring on his prey, when a multitude of shepherds is called forth against 
suíta	5	bildad (1.00), shuhite (1.00), zophar (0.44), naamathite (0.44)	Jó 2:11 — Now when Job's three friends heard of all this evil that was come upon him, they came every one from his own place; Eliphaz the Temanite, and Bildad t
sitim	5	harlot's (0.29), shittim (0.27), lodged (0.15), beor (0.13)	Joel 3:18 — And it shall come to pass in that day, that the mountains shall drop down new wine, and the hills shall flow with milk, and all the rivers of Judah sh
varapaus	5	staves (0.20), thief (0.16), swords (0.16), judas (0.11)	Lucas 22:52 — Then Jesus said unto the chief priests, and captains of the temple, and the elders, which were come to him, Be ye come out, as against a thief, with s
endemoniados	5	gergesenes (0.33), lunatick (0.29), torments (0.25), tombs (0.18)	Marcos 1:32 — And at even, when the sun did set, they brought unto him all that were diseased, and them that were possessed with devils.
irascível	5	appeaseth (0.33), furious (0.33), wrathful (0.29), friendship (0.29)	Provérbios 15:18 — A wrathful man stirreth up strife: but he that is slow to anger appeaseth strife.
meribe-baal	4	merib-baal (1.00), micah (0.14), jonathan (0.04), begat (0.02)	1 Crônicas 8:34 — And the son of Jonathan was Merib-baal; and Merib-baal begat Micah.
itrita	4	ithrite (1.00), gareb (0.80), ira (0.50)	1 Crônicas 11:40 — Ira the Ithrite, Gareb the Ithrite,
baal-perazim	4	baal-perazim (1.00), breaking (0.09), breach (0.08), smote (0.02)	1 Crônicas 14:11 — So they came up to Baal-perazim; and David smote them there. Then David said, God hath broken in upon mine enemies by mine hand like the breaking fort
coscorões	4	fried (0.67), wafers (0.67), cakes (0.31), baked (0.25)	1 Crônicas 23:29 — Both for the shewbread, and for the fine flour for meat offering, and for the unleavened cakes, and for that which is baked in the pan, and for that w
recâmaras	4	parlours (0.40), arcturus (0.33), pleiades (0.33), orion (0.29)	1 Crônicas 28:11 — Then David gave to Solomon his son the pattern of the porch, and of the houses thereof, and of the treasuries thereof, and of the upper chambers there
beberrão	4	drunkard (0.67), glutton (0.67), railer (0.40), drowsiness (0.40)	1 Coríntios 5:11 — But now I have written unto you not to keep company, if any man that is called a brother be a fornicator, or covetous, or an idolater, or a railer, or
indecente	4	shorn (0.20), shaven (0.17), bill (0.17), divorcement (0.17)	1 Coríntios 11:6 — For if the woman be not covered, let her also be shorn: but if it be a shame for a woman to be shorn or shaven, let her be covered.
grandiosa	4	hurled (0.40), inso (0.33), construct (0.25), manifesteth (0.22)	1 Néfi 17:19 — And now it came to pass that I, Nephi, was exceedingly sorrowful because of the hardness of their hearts; and now when they saw that I began to be sor
extraordinariamente	4	brilliant (0.40), wrist (0.33), ankles (0.33), exquisite (0.29)	1 Néfi 18:24 — And it came to pass that we did begin to till the earth, and we began to plant seeds; yea, we did put all our seeds into the earth, which we had broug
malfeitor	4	busybody (0.40), malefactor (0.40), doer (0.33), evildoer (0.29)	1 Pedro 4:15 — But let none of you suffer as a murderer, or as a thief, or as an evildoer, or as a busybody in other men's matters.
sacerdotal	4	crouch (0.40), decketh (0.40), adorneth (0.40), priestcrafts (0.20)	1 Samuel 2:36 — And it shall come to pass, that every one that is left in thine house shall come and crouch to him for a piece of silver and a morsel of bread, and sh
penhascos	4	thickets (0.40), enflaming (0.40), bowmen (0.40), ragged (0.33)	1 Samuel 13:6 — When the men of Israel saw that they were in a strait, (for the people were distressed,) then the people did hide themselves in caves, and in thickets
tamborins	4	tabrets (0.44), timbrels (0.44), dances (0.40), players (0.33)	1 Samuel 18:6 — And it came to pass as they came, when David was returned from the slaughter of the Philistine, that the women came out of all cities of Israel, singi
líbios	4	lubims (0.67), libyans (0.67), ethiopians (0.50), sukkiims (0.40)	2 Crônicas 12:3 — With twelve hundred chariots, and threescore thousand horsemen: and the people were without number that came with him out of Egypt; the Lubims, the Su
atribulados	4	fightings (0.33), enduring (0.29), perplexed (0.22), despair (0.20)	2 Coríntios 1:6 — And whether we be afflicted, it is for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer:
recâmara	4	jehosheba (0.40), bedchamber (0.40), locked (0.33), closet (0.25)	2 Reis 11:2 — But Jehosheba, the daughter of king Joram, sister of Ahaziah, took Joash the son of Ahaziah, and stole him from among the king's sons which were slain
