form	count	why	example
amendoeira	2	almond d=1.00 self	Eclesiastes 12:5 — Also when they shall be afraid of that which is high, and fears shall be in the way, and the almond tree shall flourish, and the grasshopper shall be 
escorneador	2	push d=0.31 self	Êxodo 21:29 — But if the ox were wont to push with his horn in time past, and it hath been testified to his owner, and he hath not kept him in, but that he hath kil
texugo	2	silk d=0.29 self	Êxodo 26:14 — And thou shalt make a covering for the tent of rams' skins dyed red, and a covering above of badgers' skins.
enxugadouro	2	nets d=0.27 self	Ezequiel 26:5 — It shall be a place for the spreading of nets in the midst of the sea: for I have spoken it, saith the Lord GOD: and it shall become a spoil to the na
levíticos	2	kindle d=0.08 self	Ezequiel 44:15 — But the priests the Levites, the sons of Zadok, that kept the charge of my sanctuary when the children of Israel went astray from me, they shall come 
viração	2	cool d=0.80 self	Gênesis 3:8 — And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the L
varredoura	2	drag d=0.67 self	Habacuque 1:15 — They take up all of them with the angle, they catch them in their net, and gather them in their drag: therefore they rejoice and are glad.
fugidia	2	piercing d=0.40 self	Isaías 27:1 — In that day the LORD with his sore and great and strong sword shall punish leviathan the piercing serpent, even leviathan that crooked serpent; and he
ômni	2	omni d=1.00 self	Jarom 1:15 — And I deliver these plates into the hands of my son Omni, that they may be kept according to the commandments of my fathers.
ornato	2	gray d=0.25 self	Jeremias 13:18 — Say unto the king and to the queen, Humble yourselves, sit down: for your principalities shall come down, even the crown of your glory.
perguntai-lho	2	age d=0.05 self	João 9:21 — But by what means he now seeth, we know not; or who hath opened his eyes, we know not: he is of age; ask him: he shall speak for himself.
vô-la	2	troubled d=0.02 self	João 14:27 — Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid.
apavorados	2	faint d=0.07 self	Josué 2:9 — And she said unto the men, I know that the LORD hath given you the land, and that your terror is fallen upon us, and that all the inhabitants of the l
wayne	2	wayne d=1.00 self	Joseph Smith—História 1:3 — I was born in the year of our Lord one thousand eight hundred and five, on the twenty-third day of December, in the town of Sharon, Windsor county, St
harrison	2	lucy d=1.00 self	Joseph Smith—História 1:4 — His family consisting of eleven souls, namely, my father, Joseph Smith; my mother , Lucy Smith (whose name, previous to her marriage, was Mack, daught
sophronia	2	lucy d=1.00 self	Joseph Smith—História 1:4 — His family consisting of eleven souls, namely, my father, Joseph Smith; my mother , Lucy Smith (whose name, previous to her marriage, was Mack, daught
hale	2	1827 d=1.00 self	Joseph Smith—História 1:57 — During the time that I was thus employed, I was put to board with a Mr. Isaac Hale, of that place; it was there I first saw my wife (his daughter), Em
esli	2	naum d=1.00 self	Lucas 3:25 — Which was the son of Mattathias, which was the son of Amos, which was the son of Naum, which was the son of Esli, which was the son of Nagge,
jorim	2	jose d=1.00 self	Lucas 3:29 — Which was the son of Jose, which was the son of Eliezer, which was the son of Jorim, which was the son of Matthat, which was the son of Levi,
filadélfia	2	philadelphia d=1.00 self	Apocalipse 1:11 — Saying, I am Alpha and Omega, the first and the last: and, What thou seest, write in a book, and send it unto the seven churches which are in Asia; un
lavadouro	2	twins d=0.50 self	Cantares de Salomão 4:2 — Thy teeth are like a flock of sheep that are even shorn, which came up from the washing; whereof every one bear twins, and none is barren among them.
paí	1	pai d=1.00 self	1 Crônicas 1:50 — And when Baal-hanan was dead, Hadad reigned in his stead: and the name of his city was Pai; and his wife's name was Mehetabel, the daughter of Matred,
acar	1	achar d=1.00 self	1 Crônicas 2:7 — And the sons of Carmi; Achar, the troubler of Israel, who transgressed in the thing accursed.
rina	1	shimon d=1.00 self	1 Crônicas 4:20 — And the sons of Shimon were, Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi were, Zoheth, and Ben-zoheth.
bene-hanã	1	shimon d=1.00 self	1 Crônicas 4:20 — And the sons of Shimon were, Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi were, Zoheth, and Ben-zoheth.
tilom	1	shimon d=1.00 self	1 Crônicas 4:20 — And the sons of Shimon were, Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi were, Zoheth, and Ben-zoheth.
zoete	1	shimon d=1.00 self	1 Crônicas 4:20 — And the sons of Shimon were, Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi were, Zoheth, and Ben-zoheth.
bene-zoete	1	shimon d=1.00 self	1 Crônicas 4:20 — And the sons of Shimon were, Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi were, Zoheth, and Ben-zoheth.
abdiel	1	abdiel d=1.00 self	1 Crônicas 5:15 — Ahi the son of Abdiel, the son of Guni, chief of the house of their fathers.
cantor	1	singer d=0.67 self	1 Crônicas 6:33 — And these are they that waited with their children. Of the sons of the Kohathites: Heman a singer, the son of Joel, the son of Shemuel,
iri	1	iri d=1.00 self	1 Crônicas 7:7 — And the sons of Bela; Ezbon, and Uzzi, and Uzziel, and Jerimoth, and Iri, five; heads of the house of their fathers, mighty men of valour; and were re
bene	1	ben d=1.00 self	1 Crônicas 15:18 — And with them their brethren of the second degree, Zechariah, Ben, and Jaaziel, and Shemiramoth, and Jehiel, and Unni, Eliab, and Benaiah, and Maaseia
inteligíveis	1	easy d=0.13 self	1 Coríntios 14:9 — So likewise ye, except ye utter by the tongue words easy to be understood, how shall it be known what is spoken? for ye shall speak into the air.
hasor	1	levy d=0.33 self	1 Reis 9:15 — And this is the reason of the levy which king Solomon raised; for to build the house of the LORD, and his own house, and Millo, and the wall of Jerusa
arráteis	1	pound d=0.18 self	1 Reis 10:17 — And he made three hundred shields of beaten gold; three pound of gold went to one shield: and the king put them in the house of the forest of Lebanon.
deu-mas	1	record d=0.01 self	1 Néfi 14:29 — And I bear record that I saw the things which my father saw, and the angel of the Lord did make them known unto me.
cabras-montesas	1	animals d=0.25 self	1 Néfi 18:25 — And it came to pass that we did find upon the land of promise, as we journeyed in the wilderness, that there were beasts in the forests of every kind,
desenfreamento	1	riot d=0.50 self	1 Pedro 4:4 — Wherein they think it strange that ye run not with them to the same excess of riot, speaking evil of you:
vexação	1	deadly d=0.18 self	1 Samuel 5:11 — So they sent and gathered together all the lords of the Philistines, and said, Send away the ark of the God of Israel, and let it go again to his own 
besaleel	1	uri d=0.25 self	2 Crônicas 1:5 — Moreover the brasen altar, that Bezaleel the son of Uri, the son of Hur, had made, he put before the tabernacle of the LORD: and Solomon and the congr
sândalos	1	algum d=0.50 self	2 Crônicas 2:8 — Send me also cedar trees, fir trees, and algum trees, out of Lebanon: for I know that thy servants can skill to cut timber in Lebanon; and, behold, my
concórdia	1	concord d=1.00 self	2 Coríntios 6:15 — And what concord hath Christ with Belial? or what part hath he that believeth with an infidel?
detrações	1	debates d=1.00 self	2 Coríntios 12:20 — For I fear, lest, when I come, I shall not find you such as I would, and that I shall be found unto you such as ye would not: lest there be debates, e
mexericos	1	debates d=1.00 self	2 Coríntios 12:20 — For I fear, lest, when I come, I shall not find you such as I would, and that I shall be found unto you such as ye would not: lest there be debates, e
sila	1	silla d=1.00 self	2 Reis 12:20 — And his servants arose, and made a conspiracy, and slew Joash in the house of Millo, which goeth down to Silla.
abi	1	abi d=1.00 self	2 Reis 18:2 — Twenty and five years old was he when he began to reign; and he reigned twenty and nine years in Jerusalem. His mother's name also was Abi, the daught
escurecida	1	fuel d=0.25 self	2 Néfi 19:19 — Through the wrath of the Lord of Hosts is the land darkened, and the people shall be as the fuel of the fire; no man shall spare his brother.
aflitivo	1	cruel d=0.09 self	2 Néfi 23:9 — Behold, the day of the Lord cometh, cruel both with wrath and fierce anger, to lay the land desolate; and he shall destroy the sinners thereof out of 
dize-mo	1	jonathan d=0.02 self	2 Samuel 1:4 — And David said unto him, How went the matter? I pray thee, tell me. And he answered, That the people are fled from the battle, and many of the people 
chegando-lhos	1	sister d=0.02 self	2 Samuel 13:11 — And when she had brought them unto him to eat, he took hold of her, and said unto her, Come lie with me, my sister.
lisias	1	claudius d=0.50 self	Atos 23:26 — Claudius Lysias unto the most excellent governor Felix sendeth greeting.
enseada	1	creek d=1.00 self	Atos 27:39 — And when it was day, they knew not the land: but they discovered a certain creek with a shore, into the which they were minded, if it were possible, t
destruí-lo-á	1	wolf d=0.20 self	Alma 5:59 — For what shepherd is there among you having many sheep doth not watch over them, that the wolves enter not and devour his flock? And behold, if a wolf
amulonita	1	actual d=0.50 self	Alma 24:29 — Now, among those who joined the people of the Lord, there were none who were Amalekites or Amulonites, or who were of the order of Nehor, but they wer
paradisíaca	1	american d=1.00 self	Regras de Fé 1:10 — We believe in the literal gathering of Israel and in the restoration of the Ten Tribes ; that Zion (the New Jerusalem) will be built upon the American
peres	1	peres d=1.00 self	Daniel 5:28 — PERES; Thy kingdom is divided, and given to the Medes and Persians.
hiram	1	page d=0.50 self	Doutrina e Convênios 28:11 — And again, thou shalt take thy brother, Hiram Page, between him and thee alone, and tell him that those things which he hath written from that stone a
ouvi-la-ão	1	laughed d=0.12 self	Doutrina e Convênios 45:49 — And the Lord shall utter his voice, and all the ends of the earth shall hear it; and the nations of the earth shall mourn , and they that have laughed
detroit	1	detroit d=1.00 self	Doutrina e Convênios 52:8 — And also my servant John Murdock, and my servant Hyrum Smith, take their journey unto the same place by the way of Detroit.
harvey	1	harvey d=1.00 self	Doutrina e Convênios 52:25 — Let my servants David Whitmer and Harvey Whitlock also take their journey, and preach by the way unto this same land.
whitlock	1	harvey d=1.00 self	Doutrina e Convênios 52:25 — Let my servants David Whitmer and Harvey Whitlock also take their journey, and preach by the way unto this same land.
edson	1	edson d=1.00 self	Doutrina e Convênios 52:28 — Let my servants Edson Fuller and Jacob Scott also take their journey.
fuller	1	edson d=1.00 self	Doutrina e Convênios 52:28 — Let my servants Edson Fuller and Jacob Scott also take their journey.
jacob	1	edson d=1.00 self	Doutrina e Convênios 52:28 — Let my servants Edson Fuller and Jacob Scott also take their journey.
scott	1	edson d=1.00 self	Doutrina e Convênios 52:28 — Let my servants Edson Fuller and Jacob Scott also take their journey.
humphrey	1	humphrey d=1.00 self	Doutrina e Convênios 52:35 — And again, I say unto you, let my servants Joseph Wakefield and Solomon Humphrey take their journey into the eastern lands;
titus	1	billings d=1.00 self	Doutrina e Convênios 63:39 — Let my servant Titus Billings, who has the care thereof, dispose of the land, that he may be prepared in the coming spring to take his journey up unto
billings	1	billings d=1.00 self	Doutrina e Convênios 63:39 — Let my servant Titus Billings, who has the care thereof, dispose of the land, that he may be prepared in the coming spring to take his journey up unto
ashley	1	major d=1.00 self	Doutrina e Convênios 75:17 — And again, I say unto my servant Major N. Ashley, and my servant Burr Riggs, let them take their journey also into the south country.
burr	1	major d=1.00 self	Doutrina e Convênios 75:17 — And again, I say unto my servant Major N. Ashley, and my servant Burr Riggs, let them take their journey also into the south country.
riggs	1	major d=1.00 self	Doutrina e Convênios 75:17 — And again, I say unto my servant Major N. Ashley, and my servant Burr Riggs, let them take their journey also into the south country.
gideon	1	sylvester d=0.50 self	Doutrina e Convênios 75:34 — And also my servant Sylvester Smith and my servant Gideon Carter;
6?resposta	1	no candidate	Doutrina e Convênios 77:1 — Q. What is the sea of glass spoken of by John, 4th chapter, and 6th verse of the Revelation? A. It is the earth , in its sanctified , immortal , and e
versículo?r	1	no candidate	Doutrina e Convênios 77:2 — Q. What are we to understand by the four beasts, spoken of in the same verse? A. They are figurative expressions, used by the Revelator, John, in desc
ordens?r	1	no candidate	Doutrina e Convênios 77:3 — Q. Are the four beasts limited to individual beasts, or do they represent classes or orders ? A. They are limited to four individual beasts, which wer
animais?r	1	no candidate	Doutrina e Convênios 77:4 — Q. What are we to understand by the eyes and wings , which the beasts had? A. Their eyes are a representation of light and knowledge, that is, they ar
joão?r	1	no candidate	Doutrina e Convênios 77:5 — Q. What are we to understand by the four and twenty elders , spoken of by John? A. We are to understand that these elders whom John saw, were elders w
selos?r	1	no candidate	Doutrina e Convênios 77:6 — Q. What are we to understand by the book which John saw, which was sealed on the back with seven seals? A. We are to understand that it contains the r
selado?r	1	no candidate	Doutrina e Convênios 77:7 — Q. What are we to understand by the seven seals with which it was sealed? A. We are to understand that the first seal contains the things of the first
capítulo?r	1	no candidate	Doutrina e Convênios 77:10 — Q. What time are the things spoken of in this chapter to be accomplished? A. They are to be accomplished in the sixth thousand years, or the opening o
tribo?r	1	no candidate	Doutrina e Convênios 77:11 — Q. What are we to understand by sealing the one hundred and forty-four thousand, out of all the tribes of Israel—twelve thousand out of every tribe? A
seculares	1	secular d=1.00 self	Doutrina e Convênios 84:113 — He should also employ an agent to take charge and to do his secular business as he shall direct.
livre-arbítrio	1	agency d=0.29 self	Doutrina e Convênios 93:31 — Behold, here is the agency of man, and here is the condemnation of man; because that which was from the beginning is plainly manifest unto them, and t
interinamente	1	preside d=0.07 self	Doutrina e Convênios 102:25 — And the said council of high priests shall have power to appoint one of their own number to preside over such council for the time being.
harris.depois	1	no candidate	Doutrina e Convênios 102:34 — The twelve councilors then proceeded to cast lots or ballot, to ascertain who should speak first, and the following was the result, namely: 1, Oliver 
freedom	1	warren d=0.50 self	Doutrina e Convênios 106:1 — It is my will that my servant Warren A. Cowdery should be appointed and ordained a presiding high priest over my church, in the land of Freedom and th
preenchimento	1	calls d=1.00 self	Doutrina e Convênios 107:38 — It is the duty of the traveling high council to call upon the Seventy , when they need assistance, to fill the several calls for preaching and adminis
nefandas	1	magazines d=1.00 self	Doutrina e Convênios 123:5 — And all that are in the magazines, and in the encyclopedias, and all the libelous histories that are published, and are writing, and by whom, and pres
conclamá-los	1	favor d=0.09 self	Doutrina e Convênios 124:6 — For, behold, I am about to call upon them to give heed to the light and glory of Zion, for the set time has come to favor her.
bennett	1	bennett d=1.00 self	Doutrina e Convênios 124:16 — Again, let my servant John C. Bennett help you in your labor in sending my word to the kings and people of the earth, and stand by you, even you my se
warsaw	1	warsaw d=1.00 self	Doutrina e Convênios 124:88 — Let my servant William go and proclaim my everlasting gospel with a loud voice, and with great joy, as he shall be moved upon by my Spirit , unto the 
burlington	1	warsaw d=1.00 self	Doutrina e Convênios 124:88 — Let my servant William go and proclaim my everlasting gospel with a loud voice, and with great joy, as he shall be moved upon by my Spirit , unto the 
madison	1	warsaw d=1.00 self	Doutrina e Convênios 124:88 — Let my servant William go and proclaim my everlasting gospel with a loud voice, and with great joy, as he shall be moved upon by my Spirit , unto the 
mortífero	1	deadly d=0.18 self	Doutrina e Convênios 124:98 — And these signs shall follow him—he shall heal the sick , he shall cast out devils, and shall be delivered from those who would administer unto him de
nashville	1	nashville d=1.00 self	Doutrina e Convênios 125:4 — And let all those who come from the east, and the west, and the north, and the south, that have desires to dwell therein, take up their inheritance in
20:12	1	no candidate	Doutrina e Convênios 128:6 — And further, I want you to remember that John the Revelator was contemplating this very subject in relation to the dead, when he declared, as you will
16:18	1	no candidate	Doutrina e Convênios 128:10 — And again, for the precedent, Matthew 16:18, 19: And I say also unto thee, That thou art Peter, and upon this rock I will build my church; and the gat
15:46	1	no candidate	Doutrina e Convênios 128:13 — Consequently, the baptismal font was instituted as a similitude of the grave, and was commanded to be in a place underneath where the living are wont 
15:29	1	no candidate	Doutrina e Convênios 128:16 — And now, in relation to the baptism for the dead, I will give you another quotation of Paul, 1 Corinthians 15:29: Else what shall they do which are ba
ministração	1	grand d=0.50 self	Doutrina e Convênios 129:9 — These are three grand keys whereby you may know whether any administration is from God.
14:23	1	no candidate	Doutrina e Convênios 130:3 — John 14:23—The appearing of the Father and the Son, in that verse, is a personal appearance ; and the idea that the Father and the Son dwell in a man’
sectária	1	idea d=1.00 self	Doutrina e Convênios 130:3 — John 14:23—The appearing of the Father and the Son, in that verse, is a personal appearance ; and the idea that the Father and the Son dwell in a man’
2:17	1	no candidate	Doutrina e Convênios 130:10 — Then the white stone mentioned in Revelation 2:17, will become a Urim and Thummim to each individual who receives one, whereby things pertaining to a 
baleados	1	150 d=1.00 self	Doutrina e Convênios 135:1 — To seal the testimony of this book and the Book of Mormon, we announce the martyrdom of Joseph Smith the Prophet, and Hyrum Smith the Patriarch. They 
3:18–20	1	no candidate	Doutrina e Convênios 138:9 — “Which sometime were disobedient, when once the longsuffering of God waited in the days of Noah, while the ark was a preparing, wherein few, that is, 
4:6	1	no candidate	Doutrina e Convênios 138:10 — “For for this cause was the gospel preached also to them that are dead, that they might be judged according to men in the flesh, but live according to
sivã	1	sivan d=1.00 self	Ester 8:9 — Then were the king's scribes called at that time in the third month, that is, the month Sivan, on the three and twentieth day thereof; and it was writ
d’água	1	no candidate	Éter 6:7 — And it came to pass that when they were buried in the deep there was no water that could hurt them, their vessels being tight like unto a dish, and al
desabitada	1	game d=0.40 self	Éter 10:21 — And they did preserve the land southward for a wilderness, to get game. And the whole face of the land northward was covered with inhabitants.
pô-lo-ão	1	post d=0.17 self	Êxodo 12:7 — And they shall take of the blood, and strike it on the two side posts and on the upper door post of the houses, wherein they shall eat it.
pórem	1	hot d=0.06 self	Êxodo 32:11 — And Moses besought the LORD his God, and said, LORD, why doth thy wrath wax hot against thy people, which thou hast brought forth out of the land of E
gofer	1	gopher d=1.00 self	Gênesis 6:14 — Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch.
lisura	1	kids d=0.22 self	Gênesis 27:16 — And she put the skins of the kids of the goats upon his hands, and upon the smooth of his neck:
hadar	1	pau d=1.00 self	Gênesis 36:39 — And Baal-hanan the son of Achbor died, and Hadar reigned in his stead: and the name of his city was Pau; and his wife's name was Mehetabel, the daught
podiamos	1	tenor d=0.67 self	Gênesis 43:7 — And they said, The man asked us straitly of our state, and of our kindred, saying, Is your father yet alive? have ye another brother? and we told him 
propositadamente	1	guiding d=1.00 self	Gênesis 48:14 — And Israel stretched out his right hand, and laid it upon Ephraim's head, who was the younger, and his left hand upon Manasseh's head, guiding his han
cantor-mor	1	singer d=0.67 self	Habacuque 3:19 — The LORD God is my strength, and he will make my feet like hinds' feet, and he will make me to walk upon mine high places. To the chief singer on my s
fronteiriças	1	center d=0.15 self	Helamã 1:26 — For behold, Moronihah had supposed that the Lamanites durst not come into the center of the land, but that they would attack the cities round about in
apavorada	1	palestina d=0.33 self	Isaías 14:31 — Howl, O gate; cry, O city; thou, whole Palestina, art dissolved: for there shall come from the north a smoke, and none shall be alone in his appointed
atenuada	1	thin d=0.20 self	Isaías 17:4 — And in that day it shall come to pass, that the glory of Jacob shall be made thin, and the fatness of his flesh shall wax lean.
perfídia	1	dealers d=1.00 self	Isaías 24:16 — From the uttermost part of the earth have we heard songs, even glory to the righteous. But I said, My leanness, my leanness, woe unto me! the treacher
passatempo	1	sport d=0.33 self	Isaías 57:4 — Against whom do ye sport yourselves? against whom make ye a wide mouth, and draw out the tongue? are ye not children of transgression, a seed of false
espantalho	1	palm d=0.06 self	Jeremias 10:5 — They are upright as the palm tree, but speak not: they must needs be borne, because they cannot go. Be not afraid of them; for they cannot do evil, ne
ti,e	1	no candidate	Jeremias 15:6 — Thou hast forsaken me, saith the LORD, thou art gone backward: therefore will I stretch out my hand against thee, and destroy thee; I am weary with re
inabitável	1	heath d=0.67 self	Jeremias 17:6 — For he shall be like the heath in the desert, and shall not see when good cometh; but shall inhabit the parched places in the wilderness, in a salt la
saná-la	1	medicines d=0.67 self	Jeremias 30:13 — There is none to plead thy cause, that thou mayest be bound up: thou hast no healing medicines.
enlutados	1	safety d=0.05 self	Jó 5:11 — To set up on high those that be low; that those which mourn may be exalted to safety.
papiro	1	flag d=1.00 self	Jó 8:11 — Can the rush grow up without mire? can the flag grow without water?
ensina-mo	1	teach d=0.01 self	Jó 34:32 — That which I see not teach thou me: if I have done iniquity, I will do no more.
agacham	1	couch d=0.25 self	Jó 38:40 — When they couch in their dens, and abide in the covert to lie in wait?
crinas	1	thunder d=0.06 self	Jó 39:19 — Hast thou given the horse strength? hast thou clothed his neck with thunder?
tremulantes	1	thunder d=0.06 self	Jó 39:19 — Hast thou given the horse strength? hast thou clothed his neck with thunder?
