form	count	gloss	dice	example
tírios	3	ware	0.22	1 Crônicas 22:4 — Also cedar trees in abundance: for the Zidonians and they of Tyre brought much cedar wood to David.
traze-mo	3	savoury	0.22	1 Reis 17:13 — And Elijah said unto her, Fear not; go and do as thou hast said: but make me thereof a little cake first, and bring it unto me, and after make for the
frondosas	3	willows	0.25	2 Reis 17:10 — And they set them up images and groves in every high hill, and under every green tree:
excelso	3	lowly	0.13	2 Néfi 22:4 — And in that day shall ye say: Praise the Lord, call upon his name, declare his doings among the people, make mention that his name is exalted.
iniquamente	3	retaining	0.29	2 Samuel 24:17 — And David spake unto the LORD when he saw the angel that smote the people, and said, Lo, I have sinned, and I have done wickedly: but these sheep, wha
uníssono	3	preserving	0.17	3 Néfi 4:31 — And it came to pass that they did break forth, all as one, in singing, and praising their God for the great thing which he had done for them, in prese
intrepidamente	3	boldly	0.22	3 Néfi 6:20 — And there began to be men inspired from heaven and sent forth, standing among the people in all the land, preaching and testifying boldly of the sins 
faze-mo	3	struck	0.09	Alma 22:18 — O God, Aaron hath told me that there is a God; and if there is a God, and if thou art God, wilt thou make thyself known unto me, and I will give away 
inúmeros	3	merits	0.22	Alma 24:10 — And I also thank my God, yea, my great God, that he hath granted unto us that we might repent of these things, and also that he hath forgiven us of th
tão-somente	3	abinadi	0.06	Alma 54:13 — Behold, I am in my anger, and also my people; ye have sought to murder us, and we have only sought to defend ourselves. But behold, if ye seek to dest
desatada	3	convincing	0.14	Doutrina e Convênios 11:21 — Seek not to declare my word, but first seek to obtain my word , and then shall your tongue be loosed; then, if you desire, you shall have my Spirit an
onipotência	3	smallest	0.29	Doutrina e Convênios 19:14 — And it is by my almighty power that you have received them;
lava-pés	3	washing	0.27	Doutrina e Convênios 88:139 — And he shall be received by the ordinance of the washing of feet, for unto this end was the ordinance of the washing of feet instituted.
reluzente	3	whet	0.29	Deuteronômio 32:41 — If I whet my glittering sword, and mine hand take hold on judgment; I will render vengeance to mine enemies, and will reward them that hate me.
reedificada	3	hananeel	0.29	Éter 13:5 — And he spake also concerning the house of Israel, and the Jerusalem from whence Lehi should come—after it should be destroyed it should be built up ag
batentes	3	apiece	0.22	Ezequiel 41:24 — And the doors had two leaves apiece, two turning leaves; two leaves for the one door, and two leaves for the other door.
carcereiro-mor	3	keeper	0.22	Gênesis 39:21 — But the LORD was with Joseph, and shewed him mercy, and gave him favour in the sight of the keeper of the prison.
expectação	3	expectation	0.22	Hebreus 10:27 — But a certain fearful looking for of judgment and fiery indignation, which shall devour the adversaries.
quebradura	3	healeth	0.29	Isaías 30:26 — Moreover the light of the moon shall be as the light of the sun, and the light of the sun shall be sevenfold, as the light of seven days, in the day t
apoderam	3	stealeth	0.29	Jó 27:20 — Terrors take hold on him as waters, a tempest stealeth him away in the night.
possantemente	3	ashkelon	0.18	Juízes 14:6 — And the Spirit of the LORD came mightily upon him, and he rent him as he would have rent a kid, and he had nothing in his hand: but he told not his fa
infortúnios	3	prophesieth	0.15	Mosias 12:9 — And it came to pass that they were angry with him; and they took him and carried him bound before the king, and said unto the king: Behold, we have br
memorativa	3	woman's	0.20	Números 5:15 — Then shall the man bring his wife unto the priest, and he shall bring her offering for her, the tenth part of an ephah of barley meal; he shall pour n
ocaso	3	seasons	0.08	Salmos 50:1 — The mighty God, even the LORD, hath spoken, and called the earth from the rising of the sun unto the going down thereof.
gratuito	3	abounded	0.25	Romanos 5:15 — But not as the offence, so also is the free gift. For if through the offence of one many be dead, much more the grace of God, and the gift by grace, w
dá-mo	2	ornan	0.17	1 Crônicas 21:22 — Then David said to Ornan, Grant me the place of this threshingfloor, that I may build an altar therein unto the LORD: thou shalt grant it me for the f
oferecimento	2	moons	0.14	1 Crônicas 23:31 — And to offer all burnt sacrifices unto the LORD in the sabbaths, in the new moons, and on the set feasts, by number, according to the order commanded 
atrevo	2	durst	0.09	1 Néfi 22:29 — And now I, Nephi, make an end; for I durst not speak further as yet concerning these things.
atribulada	2	harrowed	0.29	1 Samuel 1:15 — And Hannah answered and said, No, my lord, I am a woman of a sorrowful spirit: I have drunk neither wine nor strong drink, but have poured out my soul
eirado	2	communed	0.10	1 Samuel 9:25 — And when they were come down from the high place into the city, Samuel communed with Saul upon the top of the house.
despojemo-los	2	synagogues	0.04	1 Samuel 14:36 — And Saul said, Let us go down after the Philistines by night, and spoil them until the morning light, and let us not leave a man of them. And they sai
encarecidamente	2	earnestly	0.07	1 Samuel 20:28 — And Jonathan answered Saul, David earnestly asked leave of me to go to Beth-lehem:
penhasco	2	captive	0.02	2 Crônicas 25:12 — And other ten thousand left alive did the children of Judah carry away captive, and brought them unto the top of the rock, and cast them down from the
frondosa	2	sacrificed	0.11	2 Crônicas 28:4 — He sacrificed also and burnt incense in the high places, and on the hills, and under every green tree.
poderio	2	leopard	0.20	2 Crônicas 32:9 — After this did Sennacherib king of Assyria send his servants to Jerusalem, (but he himself laid siege against Lachish, and all his power with him,) un
idôneo	2	purge	0.10	2 Coríntios 2:16 — To the one we are the savour of death unto death; and to the other the savour of life unto life. And who is sufficient for these things?
temporais	2	debtors	0.25	2 Coríntios 4:18 — While we look not at the things which are seen, but at the things which are not seen: for the things which are seen are temporal; but the things which
entranhável	2	affection	0.22	2 Coríntios 7:15 — And his inward affection is more abundant toward you, whilst he remembereth the obedience of you all, how with fear and trembling ye received him.
gratuita	2	preserving	0.18	2 Néfi 2:4 — And thou hast beheld in thy youth his glory; wherefore, thou art blessed even as they unto whom he shall minister in the flesh; for the Spirit is the 
idôneos	2	partakers	0.05	2 Timóteo 2:2 — And the things that thou hast heard of me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also.
pormenor	2	himni	0.25	3 Néfi 1:20 — And it had come to pass, yea, all things, every whit, according to the words of the prophets.
pertencente	2	amlici	0.13	Alma 2:1 — And it came to pass in the commencement of the fifth year of their reign there began to be a contention among the people; for a certain man, being cal
afastamento	2	bountifully	0.25	Alma 34:2 — My brethren, I think that it is impossible that ye should be ignorant of the things which have been spoken concerning the coming of Christ, who is tau
aparecimento	2	appearing	0.17	Alma 45:10 — And these are the words: Behold, I perceive that this very people, the Nephites, according to the spirit of revelation which is in me, in four hundred
receosos	2	displease	0.25	Alma 47:2 — And it came to pass that when the proclamation had gone forth among them they were exceedingly afraid; yea, they feared to displease the king, and the
formidável	2	wonderfully	0.29	Alma 51:11 — Now his armies were not so great as they had hitherto been, because of the many thousands who had been slain by the hand of the Nephites; but notwiths
doutos	2	realm	0.22	Daniel 1:20 — And in all matters of wisdom and understanding, that the king enquired of them, he found them ten times better than all the magicians and astrologers 
amarraduras	2	bundles	0.29	Doutrina e Convênios 101:66 — While the tares shall be bound in bundles, and their bands made strong, that they may be burned with unquenchable fire.
destruí-las-ás	2	bulwarks	0.29	Deuteronômio 20:17 — But thou shalt utterly destroy them; namely, the Hittites, and the Amorites, the Canaanites, and the Perizzites, the Hivites, and the Jebusites; as th
amassadeira	2	basket	0.17	Deuteronômio 28:5 — Blessed shall be thy basket and thy store.
infrutíferas	2	spots	0.29	Efésios 5:11 — And have no fellowship with the unfruitful works of darkness, but rather reprove them.
lisonjeira	2	flattering	0.21	Ezequiel 12:24 — For there shall be no more any vain vision nor flattering divination within the house of Israel.
luminar	2	lights	0.10	Gênesis 1:16 — And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.
levedura	2	bake	0.20	Gênesis 19:3 — And he pressed upon them greatly; and they turned in unto him, and entered into his house; and he made them a feast, and did bake unleavened bread, an
oxalá	2	grieve	0.25	Helamã 13:39 — O ye people of the land, that ye would hear my words! And I pray that the anger of the Lord be turned away from you, and that ye would repent and be s
abrasadas	2	folk	0.29	Isaías 1:7 — Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by stra
áspero	2	rough	0.15	Isaías 40:4 — Every valley shall be exalted, and every mountain and hill shall be made low: and the crooked shall be made straight, and the rough places plain:
excelsas	2	folk	0.29	Jeremias 51:58 — Thus saith the LORD of hosts; The broad walls of Babylon shall be utterly broken, and her high gates shall be burned with fire; and the people shall l
domésticos	2	alien	0.29	Jó 19:15 — They that dwell in mine house, and my maids, count me for a stranger: I am an alien in their sight.
esmaecida	2	lower	0.15	Levítico 13:21 — But if the priest look on it, and, behold, there be no white hairs therein, and if it be not lower than the skin, but be somewhat dark; then the pries
abrir-se-vos-á	2	knock	0.22	Lucas 11:9 — And I say unto you, Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you.
dracma	2	sweep	0.25	Lucas 15:8 — Either what woman having ten pieces of silver, if she lose one piece, doth not light a candle, and sweep the house, and seek diligently till she find 
terminantemente	2	commander	0.25	Mórmon 3:11 — And it came to pass that I, Mormon, did utterly refuse from this time forth to be a commander and a leader of this people, because of their wickedness
pecaminoso	2	sinful	0.29	Mosias 26:4 — And they would not be baptized; neither would they join the church. And they were a separate people as to their faith, and remained so ever after, eve
nô-lo	2	nought	0.05	Neemias 4:12 — And it came to pass, that when the Jews which dwelt by them came, they said unto us ten times, From all places whence ye shall return unto us they wil
cusita	2	ethiopian	0.25	Números 12:1 — And Miriam and Aaron spake against Moses because of the Ethiopian woman whom he had married: for he had married an Ethiopian woman.
porvir	2	principalities	0.15	Provérbios 23:18 — For surely there is an end; and thine expectation shall not be cut off.
lisonjeiros	2	flattering	0.21	Salmos 12:2 — They speak vanity every one with his neighbour: with flattering lips and with a double heart do they speak.
abrasador	2	flaming	0.21	Salmos 104:4 — Who maketh his angels spirits; his ministers a flaming fire:
liteira	2	solomon's	0.07	Cantares de Salomão 3:7 — Behold his bed, which is Solomon's; threescore valiant men are about it, of the valiant of Israel.
prostituiram-se	1	whoring	0.11	1 Crônicas 5:25 — And they transgressed against the God of their fathers, and went a whoring after the gods of the people of the land, whom God destroyed before them.
porteiros-mores	1	treasuries	0.20	1 Crônicas 9:26 — For these Levites, the four chief porters, were in their set office, and were over the chambers and treasuries of the house of God.
detrimento	1	loss	0.05	1 Coríntios 3:15 — If any man's work shall be burned, he shall suffer loss: but he himself shall be saved; yet so as by fire.
incircuncidado	1	uncircumcision	0.13	1 Coríntios 7:18 — Is any man called being circumcised? let him not become uncircumcised. Is any called in uncircumcision? let him not be circumcised.
abortivo	1	due	0.03	1 Coríntios 15:8 — And last of all he was seen of me also, as of one born out of due time.
enganamo-nos	1	deceive	0.04	1 João 1:8 — If we say that we have no sin, we deceive ourselves, and the truth is not in us.
crêdes	1	eternal	0.01	1 João 5:13 — These things have I written unto you that believe on the name of the Son of God; that ye may know that ye have eternal life, and that ye may believe o
arremteu	1	benaiah	0.05	1 Reis 2:34 — So Benaiah the son of Jehoiada went up, and fell upon him, and slew him: and he was buried in his own house in the wilderness.
ben-hur	1	hur	0.12	1 Reis 4:8 — And these are their names: The son of Hur, in mount Ephraim:
pranchões	1	beams	0.15	1 Reis 6:9 — So he built the house, and finished it; and covered the house with beams and boards of cedar.
tabuados	1	beams	0.15	1 Reis 6:9 — So he built the house, and finished it; and covered the house with beams and boards of cedar.
sidônias	1	zidonians	0.20	1 Reis 11:1 — But king Solomon loved many strange women, together with the daughter of Pharaoh, women of the Moabites, Ammonites, Edomites, Zidonians, and Hittites;
heteias	1	zidonians	0.20	1 Reis 11:1 — But king Solomon loved many strange women, together with the daughter of Pharaoh, women of the Moabites, Ammonites, Edomites, Zidonians, and Hittites;
extinguí-la	1	jeroboam	0.02	1 Reis 13:34 — And this thing became sin unto the house of Jeroboam, even to cut it off, and to destroy it from off the face of the earth.
setima	1	ariseth	0.14	1 Reis 18:44 — And it came to pass at the seventh time, that he said, Behold, there ariseth a little cloud out of the sea, like a man's hand. And he said, Go up, say
desembocadura	1	emptied	0.18	1 Néfi 2:8 — And it came to pass that he called the name of the river, Laman, and it emptied into the Red  Sea; and the valley was in the borders near the mouth th
permanência	1	dreamed	0.10	1 Néfi 8:2 — And it came to pass that while my father tarried in the wilderness he spake unto us, saying: Behold, I have dreamed a dream; or, in other words, I hav
barranca	1	extended	0.13	1 Néfi 8:19 — And I beheld a rod of iron, and it extended along the bank of the river, and led to the tree by which I stood.
repulsivo	1	loathsome	0.25	1 Néfi 12:23 — And it came to pass that I beheld, after they had dwindled in unbelief they became a dark, and loathsome, and a filthy people, full of idleness and al
pátrias-mães	1	beheld	0.01	1 Néfi 13:17 — And I beheld that their mother Gentiles were gathered together upon the waters, and upon the land also, to battle against them.
queixavam	1	complain	0.22	1 Néfi 17:18 — And thus my brethren did complain against me, and were desirous that they might not labor, for they did not believe that I could build a ship; neither
longínquos	1	pastors	0.18	1 Néfi 21:1 — And again: Hearken, O ye house of Israel, all ye that are broken off and are driven out because of the wickedness of the pastors of my people; yea, al
incontaminável	1	incorruptible	0.29	1 Pedro 1:4 — To an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,
incontaminado	1	spot	0.05	1 Pedro 1:19 — But with the precious blood of Christ, as of a lamb without blemish and without spot:
grandiosos	1	plagues	0.08	1 Samuel 4:8 — Woe unto us! who shall deliver us out of the hand of these mighty Gods? these are the Gods that smote the Egyptians with all the plagues in the wilder
vexame	1	emerods	0.22	1 Samuel 5:9 — And it was so, that, after they had carried it about, the hand of the LORD was against the city with a very great destruction: and he smote the men of
petrechos	1	fifties	0.17	1 Samuel 8:12 — And he will appoint him captains over thousands, and captains over fifties; and will set them to ear his ground, and to reap his harvest, and to make 
apoderará	1	prophesy	0.02	1 Samuel 10:6 — And the Spirit of the LORD will come upon thee, and thou shalt prophesy with them, and shalt be turned into another man.
nesciamente	1	foolishly	0.15	1 Samuel 13:13 — And Samuel said to Saul, Thou hast done foolishly: thou hast not kept the commandment of the LORD thy God, which he commanded thee: for now would the 
trazer-mo	1	fetch	0.06	1 Samuel 20:31 — For as long as the son of Jesse liveth upon the ground, thou shalt not be established, nor thy kingdom. Wherefore now send and fetch him unto me, for 
premente	1	ahimelech	0.13	1 Samuel 21:8 — And David said unto Ahimelech, And is there not here under thine hand spear or sword? for I have neither brought my sword nor my weapons with me, beca
saira	1	ziph	0.20	1 Samuel 23:15 — And David saw that Saul was come out to seek his life: and David was in the wilderness of Ziph in a wood.
fraudulência	1	guile	0.12	1 Tessalonicenses 2:3 — For our exhortation was not of deceit, nor of uncleanness, nor in guile:
episcopado	1	desireth	0.06	1 Timóteo 3:1 — This is a true saying, If a man desire the office of a bishop, he desireth a good work.
soberania	1	salt	0.05	2 Crônicas 13:5 — Ought ye not to know that the LORD God of Israel gave the kingdom over Israel to David for ever, even to him and to his sons by a covenant of salt?
joate	1	overseers	0.29	2 Crônicas 34:12 — And the men did the work faithfully: and the overseers of them were Jahath and Obadiah, the Levites, of the sons of Merari; and Zechariah and Meshulla
enviando-lhos	1	betimes	0.29	2 Crônicas 36:15 — And the LORD God of their fathers sent to them by his messengers, rising up betimes, and sending; because he had compassion on his people, and on his 
iluminação	1	shined	0.18	2 Coríntios 4:6 — For God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the fa
mortificação	1	dying	0.25	2 Coríntios 4:10 — Always bearing about in the body the dying of the Lord Jesus, that the life also of Jesus might be made manifest in our body.
solicitude	1	earnest	0.20	2 Coríntios 8:16 — But thanks be to God, which put the same earnest care into the heart of Titus for you.
inefáveis	1	unspeakable	0.29	2 Coríntios 12:4 — How that he was caught up into paradise, and heard unspeakable words, which it is not lawful for a man to utter.
alí	1	syrians	0.04	2 Reis 7:4 — If we say, We will enter into the city, then the famine is in the city, and we shall die there: and if we sit still here, we die also. Now therefore c
eletomou	1	hundreds	0.06	2 Reis 11:19 — And he took the rulers over hundreds, and the captains, and the guard, and all the people of the land; and they brought down the king from the house o
arrolamento	1	jehoash	0.12	2 Reis 12:4 — And Jehoash said to the priests, All the money of the dedicated things that is brought into the house of the LORD, even the money of every one that pa
moribundo	1	dying	0.25	2 Néfi 3:25 — And now, blessed art thou, Joseph. Behold, thou art little; wherefore hearken unto the words of thy brother, Nephi, and it shall be done unto thee eve
impropriamente	1	amiss	0.29	2 Néfi 4:35 — Yea, I know that God will give liberally to him that asketh. Yea, my God will give me, if I ask not amiss; therefore I will lift up my voice unto thee
embebedados	1	oppress	0.07	2 Néfi 6:18 — And I will feed them that oppress thee, with their own flesh; and they shall be drunken with their own blood as with sweet wine; and all flesh shall k
chamejante	1	create	0.20	2 Néfi 14:5 — And the Lord will create upon every dwelling–place of mount Zion, and upon her assemblies, a cloud and smoke by day and the shining of a flaming fire 
claudicantes	1	swiftly	0.29	2 Néfi 15:26 — And he will lift up an ensign to the nations from far, and will hiss unto them from the end of the earth; and behold, they shall come with speed swift
escancarada	1	syrians	0.04	2 Néfi 19:12 — The Syrians before and the Philistines behind; and they shall devour Israel with open mouth. For all this his anger is not turned away, but his hand i
cuse	1	pathros	0.29	2 Néfi 21:11 — And it shall come to pass in that day that the Lord shall set his hand again the second time to recover the remnant of his people which shall be left,
sinar	1	pathros	0.29	2 Néfi 21:11 — And it shall come to pass in that day that the Lord shall set his hand again the second time to recover the remnant of his people which shall be left,
feri-lo-á	1	shod	0.25	2 Néfi 21:15 — And the Lord shall utterly destroy the tongue of the Egyptian sea; and with his mighty wind he shall shake his hand over the river, and shall smite it
pô-los-á	1	cleave	0.04	2 Néfi 24:1 — For the Lord will have mercy on Jacob, and will yet choose Israel, and set them in their own land; and the strangers shall be joined with them, and th
possuí-las-á	1	handmaids	0.22	2 Néfi 24:2 — And the people shall take them and bring them to their place; yea, from far unto the ends of the earth; and they shall return to their lands of promis
malevolência	1	envyings	0.17	2 Néfi 26:21 — And there are many churches built up which cause envyings, and strifes, and malice.
borrascas	1	devouring	0.20	2 Néfi 27:2 — And when that day shall come they shall be visited of the Lord of Hosts, with thunder and with earthquake, and with a great noise, and with storm, and
procedentes	1	especially	0.10	2 Néfi 28:2 — And the things which shall be written out of the book shall be of great worth unto the children of men, and especially unto our seed, which is a remna
dissoluta	1	vexed	0.09	2 Pedro 2:7 — And delivered just Lot, vexed with the filthy conversation of the wicked:
incursão	1	pursuing	0.14	2 Samuel 3:22 — And, behold, the servants of David and Joab came from pursuing a troop, and brought in a great spoil with them: but Abner was not with David in Hebron
vilão	1	lamented	0.15	2 Samuel 3:33 — And the king lamented over Abner, and said, Died Abner as a fool dieth?
entregar-mos-ás	1	doubtless	0.22	2 Samuel 5:19 — And David enquired of the LORD, saying, Shall I go up to the Philistines? wilt thou deliver them into mine hand? And the LORD said unto David, Go up: 
mandou-lha	1	uriah	0.08	2 Samuel 11:14 — And it came to pass in the morning, that David wrote a letter to Joab, and sent it by the hand of Uriah.
amiur	1	talmai	0.29	2 Samuel 13:37 — But Absalom fled, and went to Talmai, the son of Ammihud, king of Geshur. And David mourned for his son every day.
aimás	1	ahimaaz	0.13	2 Samuel 15:27 — The king said also unto Zadok the priest, Art not thou a seer? return into the city in peace, and your two sons with you, Ahimaaz thy son, and Jonatha
aduladoras	1	lyings	0.20	3 Néfi 1:29 — And there was also a cause of much sorrow among the Lamanites; for behold, they had many children who did grow up and began to wax strong in years, th
fa-reis	1	shed	0.02	3 Néfi 18:11 — And this shall ye always do to those who repent and are baptized in my name; and ye shall do it in remembrance of my blood, which I have shed for you,
dizimados	1	adversaries	0.05	3 Néfi 20:17 — Thy hand shall be lifted up upon thine adversaries, and all thine enemies shall be cut off.
convincente	1	convincing	0.17	3 Néfi 28:29 — And it shall come to pass, when the Lord seeth fit in his wisdom that they shall minister unto all the scattered tribes of Israel, and unto all nation
submersas	1	renewed	0.20	4 Néfi 1:9 — But there were many cities which had been sunk, and waters came up in the stead thereof; therefore these cities could not be renewed.
ducentésimo	1	division	0.15	4 Néfi 1:35 — And now it came to pass in this year, yea, in the two hundred and thirty and first year, there was a great division among the people.
ausentassem	1	assembled	0.03	Atos 1:4 — And, being assembled together with them, commanded them that they should not depart from Jerusalem, but wait for the promise of the Father, which, sai
iletrados	1	unlearned	0.25	Atos 4:13 — Now when they saw the boldness of Peter and John, and perceived that they were unlearned and ignorant men, they marvelled; and they took knowledge of 
apresentou-lha	1	presented	0.08	Atos 9:41 — And he gave her his hand, and lifted her up, and when he had called the saints and widows, presented her alive.
alvorada	1	talked	0.04	Atos 20:11 — When he therefore was come up again, and had broken bread, and eaten, and talked a long while, even till break of day, so he departed.
acuradamente	1	perfectly	0.17	Atos 23:20 — And he said, The Jews have agreed to desire thee that thou wouldest bring down Paul to morrow into the council, as though they would enquire somewhat 
venturoso	1	agrippa	0.14	Atos 26:2 — I think myself happy, king Agrippa, because I shall answer for myself this day before thee touching all the things whereof I am accused of the Jews:
capitães-mores	1	amlicites	0.09	Alma 2:13 — And thus they were prepared to meet the Amlicites at the time of their coming. And there were appointed captains, and higher captains, and chief capta
